,run 0,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,run 11,run 12,run 13
0,16.665862882167314,16.138255819380902,15.35388763074878,16.511045477272727,16.164266272059542,16.147593080372502,16.041275106293014,15.390261848109493,16.765480038145327,16.837425423154034,16.044405603215584,15.827859029178143,16.295709111944795,16.471555010577287
1,17.18815072103219,16.57921051718999,16.287966323449595,16.716439770031933,16.481551657949364,16.342844153983044,16.499122628828896,15.757106730498663,16.70435872268421,15.89051250563321,16.868744252032716,16.873957503770608,16.55857478177427,16.635480040852425
2,15.745067869020101,16.000855386015385,15.730076110544772,16.136515714810706,16.277835559091418,16.22741561078763,16.104222196446678,16.508691167774195,16.655856514479705,16.40500471125643,16.956520100295453,16.820016024832537,16.56327156908912,16.936705716791952
3,16.395754323191376,17.17690020705889,16.812664016794802,16.908023948935305,16.796432233705946,16.470149775882927,17.422169483290602,16.27219605158705,17.021357200077578,16.390817500459814,15.95507939079388,15.888448562695235,16.70281365444007,17.157903519363217
4,16.25941263188926,16.416896327019103,16.907947157513032,16.342635085811573,16.499263737166274,16.19275445311929,16.5928077132629,16.578132762972857,16.705281716767903,16.31189526763429,16.392205578215627,16.596765210440804,16.859447237245682,16.530980241897115
5,17.392426098176205,16.45799281949903,16.329271973367135,16.841214234555203,15.856747920715803,16.204164583940145,16.87345998781145,16.62524537945744,16.42476627152371,16.57292541808849,16.924175264426776,16.696290843010278,16.604314724526123,16.47137541323633
6,16.458960287655238,15.527764468344564,16.304365369288803,16.526415873608236,17.064669425987955,16.350661807628324,16.667166347608415,16.815562587477192,16.701750336516607,16.729456497262326,16.299965838823155,17.01726602104037,16.21241361743986,16.136729559748233
7,16.381501762904694,16.786993915606967,16.47338668652497,16.63747202740206,16.55718805119602,15.950802779902896,16.002932746950258,16.276236559967398,15.983807873379572,16.96474602909273,16.55157180220506,16.735327335143353,16.46536344127233,16.053315331920942
8,16.957105617644828,16.48110942270794,15.91851006523596,16.919503338760745,16.694990494304168,16.29261816267392,16.340241297407026,16.483821823337312,15.879247466573,16.738072716475042,15.828505164928337,16.317205342225446,16.51507048685491,16.530876079505365
9,16.249236724975276,16.508134354778136,17.1108088399906,16.106174056695757,16.168156951834913,16.517768352014457,15.723408353670811,16.73708824364819,16.226806128959073,16.449404567964994,16.23221952049813,16.737494119914572,16.87414776590387,15.748304720245576
